Country Name,AverageTemperature_1972,AverageTemperature_1973,AverageTemperature_1974,AverageTemperature_1975,AverageTemperature_1976,AverageTemperature_1977,AverageTemperature_1978,AverageTemperature_1979,AverageTemperature_1980,AverageTemperature_1981,AverageTemperature_1982,AverageTemperature_1983,AverageTemperature_1984,AverageTemperature_1985,AverageTemperature_1986,AverageTemperature_1987,AverageTemperature_1988,AverageTemperature_1989,AverageTemperature_1990,AverageTemperature_1991,AverageTemperature_1992,AverageTemperature_1993,AverageTemperature_1994,AverageTemperature_1995,AverageTemperature_1996,AverageTemperature_1997,AverageTemperature_1998,AverageTemperature_1999,AverageTemperature_2000,AverageTemperature_2001,AverageTemperature_2002,AverageTemperature_2003,AverageTemperature_2004,AverageTemperature_2005,AverageTemperature_2006,AverageTemperature_2007,AverageTemperature_2008,AverageTemperature_2009,AverageTemperature_2010,AverageTemperature_2011,AverageTemperature_2012,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,12.54716667,14.2355,13.31675,13.54808333,13.70858333,14.80541667,14.32966667,14.26208333,14.88733333,14.86008333,13.73308333,14.61483333,14.24583333,14.88875,14.22316667,14.984,15.389,14.12575,14.99333333,14.37075,14.05608333,14.43925,14.75475,14.85916667,14.426,14.904,15.1325,15.38875,15.49783333,15.77808333,15.53766667,14.916,15.77091667,14.98,15.59558333,15.10616667,15.2165,15.25775,15.82866667,15.518,14.48158333,13040.848,13535.7541,14945.9682,14574.164,14746.851,15247.281,15112.318,14923.075,15691.266,15810.335,15615.333,15322.53,14278.7921,13545.7369,12269.4624,12400.5073,12959.2948,12348.957,12528.0165,12307.0638,11370.4531,11390.8748,11290.6882,11635.6594,12505.9308,13343.25,13793.367,14812.366,13530.953,12585.402,13842.7381,14709.884,14654.374,14770.2643,14849.1594,15272.633,15288.7756,15554.4295,17791.3299,17981.30729,18168.86
Albania,12.60825,12.48666667,12.55983333,12.56841667,12.03625,13.22325,12.26358333,12.98916667,12.16208333,12.57866667,13.01525,12.51091667,12.64075,12.94816667,13.05641667,12.99658333,13.04408333,12.80383333,13.46866667,12.33883333,13.08466667,13.12258333,14.09966667,12.78208333,12.7365,12.90091667,13.31125,13.65375,13.74658333,13.69041667,13.55991667,13.62658333,13.25816667,12.74708333,12.97691667,13.8905,13.95516667,13.84425,13.77541667,13.44325,13.76825,7613.2661,7348.4921,7632.6643,7873.037,8470.9784,8948.9809,9996.0562,11248.3583,11433.5842,10520.3625,10730.5261,11567.5737,12215.2375,11821.5831,12079.105,12175.4832,12603.8867,12552.7369,11112.72956,8273.6324,6227.1532,6067.1799,6793.7963,6421.5713,6187.3841,5500.607,5246.1311,6493.4872,8389.2767,6820.6244,7503.05976,7834.0157,7401.10155,8308.3856,8027.14955,9879.3935,8136.785,8108.812387,8506.996034,8712.296365,8898.640911
Algeria,22.69816667,22.88616667,22.541,22.71641667,22.35675,23.54608333,23.16183333,23.39683333,23.16016667,23.57925,23.09416667,23.683,23.06308333,23.52625,23.25666667,24.24775,23.81566667,23.72433333,24.01441667,23.01108333,22.767,23.45083333,23.64208333,23.7225,23.73433333,23.95516667,23.92058333,24.29941667,24.03225,24.72441667,24.263,24.39366667,23.916,24.22258333,24.20083333,24.06533333,23.95025,24.15433333,25.21566667,24.14416667,23.95483333,53749.0748,67626.6106,59317.0879,55999.4944,68739.1219,74887.917,81970.0189,84371.381,83331.195,79915.671,83128.898,89059.226,92775.912,104029.822,107927.846,106730.105,107912.716,110026.679,106445.8175,111649.003,121636.28,122490.489,118601.888,123799.179,123728.789,123971.393,126561.246,132794.415,133778.197,129334.834,131222.654,139592.331,139846.684,146241.499,151655.372,157333.425,160415.277,160849.9266,167674.633,172303.5092,176471.2268
American Samoa,26.81233333,27.13825,26.59125,26.77316667,26.72108333,26.78683333,26.684,26.89133333,26.99075,26.7455,26.90275,26.92866667,26.8795,26.94991667,26.98033333,26.89875,27.08941667,26.75266667,27.15625,27.17116667,27.072,26.81641667,26.98633333,27.26866667,27.11266667,26.95575,27.42483333,27.06716667,27.21983333,27.22758333,27.53791667,27.26483333,27.28116667,27.3735,27.08125,27.45241667,26.99508333,27.03425,27.45341667,27.0095,27.20141667,13.448115,13.6753294,13.9088347,14.192873,14.3835222,14.6498031,14.7537624,14.9500365,15.4709087,16.5597081,16.0547171,16.7070476,17.3836372,18.0264089,18.6707899,19.3524242,20.0081174,20.7495349,20.3813783,20.9670057,21.5104445,21.9988903,22.4541277,22.8843444,23.263078,23.6153334,23.9290422,31.135678,47.656033,50.883203,51.34821,51.838339,52.320385,52.801179,53.30204,53.913983,54.616323,54.98934941,56.6374866,57.74350928,58.76551929
Angola,22.011,22.34966667,21.6235,21.73891667,21.44741667,21.95075,21.817,22.14475,22.07758333,22.02791667,21.82,22.36725,22.35616667,22.02183333,22.03625,22.74991667,22.41233333,22.12216667,22.46641667,22.09541667,22.49858333,22.291,22.18941667,22.93616667,22.47925,22.31716667,23.12016667,22.38208333,22.36066667,22.50291667,22.9255,23.06658333,22.57283333,22.96608333,21.94708333,22.42708333,22.28733333,22.3165,22.6815,22.02966667,22.12333333,42205.6507,44252.66912,40179.2335,44429.30003,38448.02409,43563.41218,46235.11458,56644.65197,48001.86616,41894.79496,45243.80208,44852.06032,35878.30078,36714.19083,35982.41365,46721.25774,35736.7658,39342.98618,50806.54269,43761.08127,64997.83986,39775.10719,44657.24335,48230.29864,47136.21579,33091.22462,35275.1251,36119.4252,34780.6811,34371.8411,34490.369,35858.015,36860.2334,35855.7384,36375.822,36690.534,37396.294,38309.46513,40029.3921,40878.65196,41657.16485
Argentina,14.81841667,14.59791667,14.63766667,14.93966667,14.44025,15.35125,15.18608333,14.97466667,15.22691667,15.16741667,15.25675,14.95433333,14.40083333,15.32625,15.33475,15.1875,14.83633333,15.543,15.15508333,15.09758333,14.73916667,15.09866667,15.57866667,15.14983333,15.21158333,15.62066667,15.26175,15.06491667,14.7505,15.37041667,15.18375,15.51833333,15.44216667,15.11283333,15.56108333,14.62808333,15.476,15.53441667,15.07883333,15.33966667,15.689,223912.2788,226956.0333,229456.38,233416.77,247051.66,247370.86,248238.32,255920.06,253870.99,245776.76,243613.02,248681.79,243111.57,238145.75,250785.28,256953.81,266245.22,265608.3,266555.03,267188.7341,272139.1851,276522.7527,270948.3575,275096.4092,288246.2679,299708.76,311514.7,333886.59,331450.87,326483.81,311051.93,344797.06,369944.11,358385.64,373600.56,384547.75,411503.63,373409.0656,364684.2538,372873.1438,380295.3204
Armenia,7.789166667,8.207166667,8.314333333,8.993,8.345083333,8.692083333,9.047666667,10.14641667,9.358583333,9.805416667,8.274333333,9.000583333,9.06775,9.17475,9.306833333,8.996666667,8.626083333,9.785833333,9.258083333,9.372583333,7.614666667,7.769666667,9.02125,9.892166667,9.819166667,9.246333333,10.44841667,10.331,9.918166667,10.44341667,9.605,9.423083333,9.720166667,9.735416667,10.0535,9.53525,9.70675,9.842083333,11.5095,9.136,10.35075,6750.8237,7371.7577,7983.8753,11627.038,11929.3886,12413.3746,12915.3444,13468.8879,14508.3336,15064.5702,15764.9062,15928.7094,15993.2273,16261.8193,16485.7384,16465.0412,17613.5979,17459.8322,24729.9166,25425.6997,14512.5941,8362.9081,6107.5421,6710.3697,5992.235,6719.5874,6737.042,6389.0077,6867.7102,6896.4518,6460.2393,6973.88104,7633.471,8401.8162,8743.5088,9323.71758,12469.983,11235.08927,11393.03935,12417.73612,12319.38961
Aruba,28.35233333,28.33183333,27.70025,27.94325,27.81008333,28.45441667,28.39158333,28.43233333,28.62691667,28.44825,28.2465,28.687,28.19816667,27.88566667,27.98933333,28.85941667,28.34991667,28.13458333,28.24333333,28.34308333,28.49875,28.58916667,28.48225,28.73641667,28.47958333,28.76333333,28.9825,28.19791667,28.128,28.63091667,28.84925,28.84966667,28.506,28.77225,28.80466667,28.82283333,28.45025,28.832,28.96833333,28.51333333,28.65233333,43.2866131,43.7245901,44.130957,44.4819076,131.6337457,135.0553194,358.990001,409.505485,424.783771,519.001013,564.023574,530.385687,571.038292,642.147964,435.85886,616.928696,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,22.01208333,22.41275,21.23808333,21.69266667,21.19341667,21.8925,21.60516667,22.25233333,22.58616667,22.16408333,21.9105,22.26108333,21.51691667,22.04341667,22.09325,22.07241667,22.63008333,21.86283333,22.35575,22.48741667,21.93258333,22.16016667,22.03025,21.95516667,22.32533333,22.086,22.66483333,22.0645,21.70966667,21.79275,22.46083333,22.44033333,22.28691667,22.89683333,22.26441667,22.48675,22.22591667,22.69058333,22.07816667,21.767,22.0245,355430.771,333243.563,355842.865,377568.654,407572.606,414927.113,377956.134,412123.022,433837.438,387882.439,428739.962,386673.558,398135.519,456717.644,434735.105,412842.803,434706.164,460970.008,482298.262,499346.73,486991.982,479463.744,522429.54,489294.147,508882.826,921012.05,920773.48,1190138.38,1081244.41,1241515.99,1117450.02,1023667.58,1144343.87,909262.03,1119632.1,1065623.87,892629.27,1105167.236,782102.6922,785795.15,761686.2739
Austria,6.249833333,6.2135,6.891416667,6.898,6.416083333,6.916,5.786833333,6.404,5.633583333,6.503583333,6.918583333,7.187083333,6.061833333,5.923,6.316916667,6.1695,7.082166667,7.372416667,7.344,6.357916667,7.615583333,6.858666667,8.164916667,6.8465,5.86325,7.025083333,7.22275,7.23425,8.084916667,7.188916667,7.91525,7.509333333,6.906083333,6.6095,7.277583333,7.9765,7.801916667,7.616,6.649083333,7.855583333,7.611333333,73531.496,77365.324,75065.759,72742.055,78085.025,75681.169,77922.796,80645.173,78845.291,75501.606,73093.723,73160.152,75543.383,76926.875,75473.362,75190.949,75021.98,74506.933,79836.956,83261.989,79225.277,79387.983,79755.728,82480.629,85648.272,84731.328,85728.612,83880.53,82686.748,85851.61173,87386.68817,92659.8411,96330.90703,97552.85369,95636.729,93276.758,94608.82183,89046.75502,94172.35094,92315.0526,90460.21029
Azerbaijan,10.63908333,11.07725,11.08091667,12.00983333,10.942,11.32775,11.5005,12.48875,11.801,12.39066667,10.93483333,11.85533333,11.34608333,11.61108333,11.87225,11.51975,11.59025,12.44508333,11.992,11.956,10.72133333,10.52608333,11.47291667,12.73158333,12.20225,11.89441667,12.95875,12.85175,12.632,13.09725,12.43225,11.98475,12.6195,12.68725,12.71225,12.51483333,12.3655,12.61166667,13.96266667,11.80866667,13.08675,28191.2009,30859.7489,33572.7647,41477.2724,42787.0728,44512.8221,46342.496,48375.5232,51110.8965,55448.8495,56895.2758,58641.2552,59848.2533,61419.2836,62652.0812,62972.2961,65201.0556,64809.477,78096.61988,78972.5094,,52463.9724,48457.563,42526.7923,38971.0609,37665.0413,39953.3309,40457.6469,42646.5596,41456.1124,40298.546,44116.8124,45005.7333,47617.1667,48492.2848,45144.106,53832.8169,49623.17787,50724.56964,53982.83251,56537.08178
Bahrain,25.41058333,26.00116667,25.92175,25.83783333,25.71483333,26.55066667,26.26958333,26.80808333,26.55733333,26.58233333,25.51683333,25.59116667,25.96141667,26.20216667,26.32558333,26.64175,26.628,26.0225,26.34458333,25.81191667,25.17766667,26.16591667,26.73375,26.25741667,26.8275,26.19091667,27.61241667,27.74241667,27.07075,27.431,27.26641667,27.37066667,27.15025,26.98316667,27.22125,27.21608333,27.03308333,27.31033333,28.06966667,27.10383333,27.52933333,5904.096779,6762.560403,7858.140591,7965.179489,8567.603165,9310.14211,9744.69124,10339.16421,10456.55403,11138.69836,12013.50838,12364.74134,12769.21295,14634.28884,16263.35602,16127.13257,16271.90319,16281.21515,17050.70875,14435.82175,15182.03779,15330.08717,15216.51324,15330.07486,15986.51835,,,18047.94546,,19051.2816,19967.0134,20539.28874,21451.12298,23432.38192,25118.2166,,,29249.57946,30921.97084,31941.04244,32849.10573
Bangladesh,25.14383333,25.26558333,25.0395,25.14391667,25.20216667,25.04658333,25.039,25.71108333,25.34066667,24.95183333,25.14408333,25.06983333,25.06541667,25.42141667,25.29425,25.64241667,25.70966667,25.30475,25.28175,25.13516667,25.12225,25.00316667,25.26166667,25.41583333,25.44025,24.85925,25.52416667,25.71483333,25.15016667,25.337,25.38033333,25.28083333,25.38633333,25.532,25.76566667,25.34375,25.3895,25.90491667,25.94033333,25.20508333,25.53358333,109807.265,111165.318,110459.427,115099.304,113276.59,114977.89,118409.624,120688.293,115248.381,116074.238,117881.559,112921.933,118499.686,118777.248,121513.983,120291.346,122476.931,126358.638,126701.696,126700.013,128626.244,128901.676,131295.609,136508.329,139004.894,140107.011,129129.506,138323.9,136012.9,142753.528,143812.573,146424.251,147368.17,151091.702,155320.504,161041.755,164700.503,169927.9133,177504.4736,180498.433,183300.5624
Barbados,26.6925,26.79325,26.465,26.37325,26.28733333,26.75733333,26.91883333,26.84416667,27.14725,27.11225,26.8155,26.98333333,26.62541667,26.55258333,26.65958333,27.33516667,27.01391667,26.75216667,26.94316667,26.89316667,26.90466667,27.05683333,26.96008333,27.326,27.01825,27.23933333,27.62508333,27.14083333,26.90208333,27.22183333,27.26608333,27.44008333,27.22541667,27.67716667,27.50225,27.36641667,27.00383333,27.32033333,27.84466667,27.39525,27.34666667,757.74309,833.25382,705.74918,840.43781,802.68857,846.68742,916.83416,856.06132,867.61326,1113.69587,1111.41336,1281.25604,1335.64544,1314.08027,1321.19342,1306.05491,1194.80408,1199.41088,1199.66709,1244.59137,1236.772,1128.72586,1092.96237,1099.5552,1083.64219,1123.04133,1208.66286,1310.1545,1313.94728,1225.11629,1263.73575,,,,,,,,,,1540.615709
