Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,19.66790076,19.95736392,20.00577011,19.7166851,18.92618507,15.42933383,30.51326941,36.40090408,95.20858767,121.0305677,114.6751521,191.5890417,204.1455194,239.2286048,246.7267804,219.7726918,127.8786016,143.9411145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-679.915897,-584.266024,-365.0309814,-295.7562842,-67.27859047,-887.2323948,-824.0528984,-357.9534546,-2135.118274,-1357.840067,-328.3212045,-321.667406,-450.7822333,-419.1037006,-454.1072595,-170.0989893,-18.96353271,-119.1234045,97.03265808,84.75115906,127.3044073,-124.9717371,-437.1668204,-546.3749996,-940.9859022,-1268.353754,-1340.816746,-1206.829524,-1352.338616,-1258.9021,-1595.865842,-1502.077331,-1851.18009,-1561.237636,-2074.233014,-2372.959595,-2700.589577,-2158.690068,-3399.841421,-4349.247749,-5386.930223,-5989.187246,-6528.831159,,,,,,,
Angola,AGO,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,800.6982621,1098.795636,410.6709098,-331.5519336,-536.0659441,-159.851059,1990.557829,-1459.180233,-2181.470608,-2191.464963,-2269.064511,-1652.951637,-1604.037876,-1832.51067,-1991.25859,-2078.534272,-2161.559957,-2394.978779,-2326.835323,-2380.311671,624.4578115,324.502039,34.91162489,200.9634653,125.275373,227.4254758,266.6917121,265.8983082,817.6772947,693.2379956,865.9201011,873.2810913,872.8745542,829.8091748,1688.998684,1614.266421,603.5270117,612.9086982,-1816.567845,-3650.637936,-5363.947897,-4727.137272,-3705.349496,,,,,,,
Albania,ALB,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,20.85856445,51.08352295,81.99968994,110.9946045,141.9225488,169.3809863,207.0886768,237.3130127,257.4020288,297.1585522,327.6953931,348.8554248,366.3387964,414.0703442,449.5407861,463.8016772,488.8613916,239.3414258,559.9126562,457.0427417,485.666467,547.3045683,625.8320258,611.2931859,627.9275061,619.9743158,627.3437482,624.9905927,150.5069147,176.0340351,1377.706036,193.0751572,284.0118298,205.3737037,-468.777323,663.9293741,367.3075873,2093.213176,339.0787579,749.5053122,720.1875343,633.3771719,900.0224291,,,,,,,
Andorra,AND,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,31092.35662,30155.14735,31166.92642,30469.97798,32944.78034,34257.89161,32852.87556,35291.40477,35341.07413,45465.61256,47867.27055,50657.95418,58753.80663,59114.00377,58720.83552,50240.67516,43506.6573,26131.53195,38078.86114,30446.32033,44604.79237,33771.92156,27071.71889,15561.09976,9275.221712,12918.32132,10338.56149,-4865.370947,424514.7819,424406.4172,448929.7603,327726.4991,407364.1565,393261.0226,398597.7401,424003.6078,313880.8766,410623.7531,369477.1946,305174.4683,244334.5356,277613.8008,246998.3503,,,,,,,
United Arab Emirates,ARE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,2393.426431,2401.243378,2413.85519,2438.89578,2475.737968,2401.445393,2405.77326,2315.161359,2302.332089,2330.692729,2351.945963,2170.719946,2117.41881,2226.685977,1947.744528,1564.832141,1345.033267,-2870.77692,1156.390942,914.1104065,1312.181738,-97.55766121,404.6307203,-228.4193848,-1081.491353,-1450.570708,-2154.776804,-2185.256453,-2549.219861,-2592.489661,4.065466309,-81.42796631,113.1268997,146.9400177,354.3073425,213.7680969,412.6977844,5477.98259,-3384.513794,-8246.026868,-5997.487247,-5645.832835,-10935.14254,,,,,,,
Argentina,ARG,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,17602.07548,10638.49241,14205.92517,10569.76084,11693.03439,14271.12398,17906.51684,12852.30469,15510.3002,17601.01197,19326.46795,16800.2565,17864.03225,18212.1174,14073.78563,14934.18084,16058.06328,16165.09035,16691.83924,17256.47193,19713.12355,18098.22365,17369.25977,20655.08581,9111.498281,11626.59715,12190.27046,18816.2293,28348.3,47755.25957,46530.49727,49479.53828,44855.19414,58388.32246,67377.54629,50400.76855,54353.81191,58631.14922,71820.98125,56140.2047,38735.2331,41370.16596,48642.33572,,,,,,,
Armenia,ARM,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-6425.551628,-6403.593193,-6922.578254,-7428.708301,-7948.660286,-5769.096841,-5967.738398,-6082.384246,-6194.88031,-6301.696655,-6375.177893,-6201.064758,-6032.632947,-6026.813708,-6106.151489,-6113.452063,-6033.573694,-6326.486987,-6023.259656,-5963.706348,463.1375215,466.7218911,377.3711221,344.342801,315.2231891,312.6644756,384.0270394,315.3199489,264.5063391,233.7825309,289.7622903,277.6621733,290.9910818,328.8514187,492.8530547,425.0523221,559.8451084,383.053829,2822.313089,2598.419264,2957.12365,3323.652933,3154.996747,,,,,,,
American Samoa,ASM,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-2.22E-16,-7.77E-16,-3.33E-16,2.22E-16,-5.55E-16,7.77E-16,0,-4.44E-16,-8.88E-16,-4.44E-16,8.88E-16,2.22E-15,1.55E-15,-7.77E-16,-6.66E-16,4.44E-16,1.11E-16,1.33E-15,0,6.66E-16,1.33E-15,8.88E-16,-2.66E-15,-7.77E-16,3.33E-16,1.11E-16,1.55E-15,1.78E-15,2.22E-16,-1.78E-15,3.55E-15,0,0,0,0,-3.55E-15,0,0,3.55E-15,0,3.55E-15,-3.55E-15,7.11E-15,,,,,,,
