,,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Year,,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Area,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Watermelons,43523.5,44762.0,44975.0,47055.5,43310.5,42191.0,48680.5,49829.5,51191.0,52892.5,52639.5,53874.5,53150.0,52633.5,54544.0,54014.5,54692.0,54220.5,58978.0,61336.0,58923.0,58956.0,59105.0,59254.0,59405.5,59653.5,60026.0,60677.0,60632.5,60585.0,60539.5,63189.5,59499.0,62142.0,60000.0,62884.0,60000.0,62351.0,62571.0,56296.0,54450.0,58812.5
Afghanistan,Wheat,1452778.5,1155869.5,1144837.0,1181064.0,1181247.0,1178154.5,1179990.0,1087158.5,1022274.5,1006175.0,978149.5,922790.0,896659.5,853638.5,815445.0,901424.5,815864.0,810590.0,790255.0,850106.5,805156.5,955105.5,1005125.0,969181.5,1030610.0,1068382.0,1099482.0,1019664.5,1018120.0,893988.5,878709.5,1167500.0,950329.5,1180107.5,1228880.0,1242091.5,1075631.5,1297333.0,1186626.0,1123589.5,1266052.0,1286585.0
Albania,"Tobacco, unmanufactured",13184.0,13193.5,13131.5,13500.0,14708.5,14708.5,14182.0,14750.0,14640.0,14835.5,14636.5,14636.5,15024.0,15848.0,19000.0,20058.0,17758.0,17018.5,14937.5,8682.0,11286.5,11689.5,6212.5,7735.5,8075.0,8981.0,8769.0,8798.0,8288.5,6440.0,6802.0,5133.0,6476.5,7083.5,6455.5,4350.0,6459.0,7266.5,7683.5,8641.0,8342.5,9379.5
Albania,Watermelons,,,,,,,,,,,,,,,,,,,125743.5,141250.0,140058.0,162206.5,163027.5,169366.5,154752.5,140636.5,147007.5,149678.5,154752.5,149071.0,155881.0,153400.0,149457.0,149214.5,115395.0,128800.0,163473.5,158907.5,184380.5,183825.0,177885.5,186068.5
Albania,Wheat,84500.0,92898.5,90312.5,89687.5,107763.0,112250.0,112250.0,110950.0,110999.0,109160.5,110893.0,109839.5,110789.5,111703.0,113972.5,111065.5,115505.0,119251.0,116598.5,82178.0,63830.5,92467.5,97236.5,84961.0,73231.0,82358.0,84473.5,66977.0,71227.5,64110.0,62508.5,59705.5,56265.0,56953.5,52893.5,52893.0,61784.0,61514.5,56902.5,55760.0,57048.0,56246.0
Algeria,"Tobacco, unmanufactured",5851.5,5337.5,5336.5,7030.0,5586.5,6511.5,5777.5,5486.5,5936.5,7729.0,7578.5,6169.0,9047.5,7559.5,7111.0,7833.0,8086.5,7698.0,7619.0,7550.5,9047.5,8604.5,6912.0,6589.0,7222.5,9692.0,8201.0,7770.5,8770.0,9321.5,8109.0,7973.0,9660.5,9085.0,9310.5,9027.0,9289.0,10637.5,11121.0,11402.0,11269.5,11806.0
Algeria,Watermelons,46237.5,46944.0,52469.5,77863.0,44671.5,39307.5,40499.0,42884.0,44589.5,45148.0,47255.5,48248.5,53483.0,59428.0,59691.5,68875.0,51906.5,63859.0,57285.0,69883.0,76944.0,87122.0,74912.5,75220.0,80896.0,81970.0,92419.0,94097.5,83277.5,88660.5,93199.0,108425.0,111052.5,121546.0,112338.5,115234.5,117479.0,137901.0,148453.0,151971.0,164160.0,161500.5
Algeria,Wheat,1238930.5,1175917.0,1102953.5,1115546.5,1151100.5,955753.5,935054.5,975531.5,1039273.5,909945.0,821932.5,703567.5,776365.0,838425.5,764042.0,759188.5,514548.0,740410.5,597067.5,870124.5,928974.5,631758.5,450299.5,844822.0,1145795.0,416628.0,1292998.5,691555.5,418097.0,923757.0,704599.5,1031025.0,1012091.0,809400.5,899446.5,916309.5,508804.5,932275.0,885283.0,844918.0,981707.5,873171.0
American Samoa,"Tobacco, unmanufactured",5002.0,5002.0,5001.5,5001.5,5001.5,5001.0,5001.0,5001.0,5000.5,5000.5,5000.5,5000.5,5000.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,"Tobacco, unmanufactured",6305.0,5960.0,5532.5,8781.0,8708.5,5500.0,5477.5,5500.0,5750.0,6035.5,6035.5,6035.5,6035.5,6035.5,6035.5,6694.5,7295.5,6694.5,7057.0,6696.5,6035.5,6928.0,6757.5,6911.5,6911.5,6911.5,6553.0,6547.5,6544.5,6464.5,6549.0,6594.5,6600.0,6606.0,6602.0,6598.0,6595.0,6591.5,6588.5,6585.5,6582.5,6580.0
Angola,Wheat,12296.0,10933.5,13032.5,11500.0,11500.0,10346.0,11441.0,10166.5,8916.5,7908.0,7125.0,6325.0,5525.0,5525.0,5500.0,5500.0,5500.0,5500.0,5561.0,5600.0,5750.0,6123.5,6500.0,8039.5,8782.0,9536.5,10321.5,9845.5,9687.0,9533.5,9034.0,8358.0,7793.5,7271.5,7000.0,7000.0,7000.0,7000.0,7163.0,7304.5,7347.0,6409.5
Argentina,"Tobacco, unmanufactured",39580.0,41884.5,47557.5,49426.0,45487.5,43500.0,36080.5,42166.5,33499.5,28722.0,33820.5,36108.5,37508.0,31264.0,30897.0,32953.5,34378.5,33700.0,29663.5,37050.5,43123.0,42466.0,32988.0,32844.0,36757.5,43679.5,46066.0,42414.0,39410.5,37046.5,43029.0,41666.5,48934.0,51267.5,48350.0,45351.0,43407.0,46363.5,43654.0,46788.5,40769.5,40469.0
Argentina,Watermelons,63115.0,75232.5,64205.0,76558.0,76266.5,67340.5,78423.0,77124.5,75555.0,67652.0,71841.5,80848.5,73125.0,74838.0,74838.0,74113.0,74113.0,74838.0,73944.5,73781.0,73621.5,73467.0,73317.0,73171.0,73515.0,73538.5,73569.5,73944.5,73561.0,73504.0,73078.5,73465.0,73365.0,73518.5,73263.5,73078.5,73487.0,73645.0,73754.0,73868.0,75055.5,74001.0
Argentina,Wheat,2490505.5,1987237.0,2123551.5,2643430.0,3405972.5,2083306.0,2442998.0,2464367.0,2564498.0,2993157.0,3692350.5,3571102.5,2976434.0,2710238.5,2465959.5,2423873.5,2352479.5,2663110.5,2663110.5,2918136.0,2303179.5,2159236.0,2415768.5,2642127.5,2476147.0,3602233.0,2904559.0,2747444.0,3123926.5,3250314.5,3455184.0,3054995.5,2903756.5,3074963.0,2526721.0,2807732.0,2929977.5,2177204.0,1676285.0,2308819.0,2296206.0,1543390.0
Armenia,"Tobacco, unmanufactured",,,,,,,,,,,,,,,,,,,,,11931.5,12172.5,12600.0,10050.0,6062.0,5969.5,10050.0,11721.0,10316.5,12221.5,15692.0,11708.0,11198.5,11557.5,10727.5,11415.0,15908.5,17906.0,16707.5,19737.0,13954.0,15584.0
Armenia,Watermelons,,,,,,,,,,,,,,,,,,,,,62435.5,72454.5,81350.0,83468.0,81637.0,88078.0,94267.5,106819.0,79726.0,84234.5,118384.0,144238.0,142089.5,154518.0,169633.5,178243.5,169964.0,178403.0,150256.5,159786.0,202523.0,196960.5
Armenia,Wheat,,,,,,,,,,,,,,,,,,,,,43550.0,60078.5,51769.5,42921.0,54509.5,62504.5,69475.5,64797.5,61630.0,65408.5,71550.5,71647.5,73963.5,73913.0,57407.5,62118.5,58566.0,55452.0,53883.0,53303.0,59743.0,65449.5
Australia,"Tobacco, unmanufactured",13020.5,13635.0,13463.5,12983.5,12713.0,13273.0,13087.5,13334.5,13791.5,13781.5,13304.5,13381.0,14343.5,14215.0,13810.0,14497.5,15031.5,14730.0,14677.5,15317.0,14534.0,14875.0,15376.5,13131.0,15507.0,15112.5,16036.0,13989.5,13777.5,16500.0,16500.0,15162.0,13079.0,13429.0,14518.0,14459.0,14325.5,14231.5,14215.5,14202.0,14188.0,14174.5
