,,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Year,,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Area,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Wheat,8457.0,11739.0,12074.0,12128.0,12494.0,11309.0,11980.0,12317.0,12549.0,12350.0,12299.0,12580.0,12319.0,12277.0,11890.0,12849.0,11728.0,11180.0,10510.0,10213.0,10313.0,10211.0,10250.0,10895.0,11220.0,12764.0,12964.0,12329.0,7240.0,8977.0,15419.0,15000.0,12659.0,18215.0,13760.0,18183.0,12263.0,19666.0,19252.0,15179.0,20104.0,20248.0
Albania,Wheat,19000.0,20097.0,20625.0,19375.0,25526.0,24500.0,24500.0,24900.0,25198.0,25321.0,26886.0,30879.0,31579.0,31406.0,28945.0,31031.0,32010.0,29302.0,30197.0,20698.0,24388.0,29976.0,24745.0,28703.0,21741.0,28516.0,28037.0,24954.0,30455.0,28220.0,31617.0,28629.0,31130.0,31582.0,30787.0,35496.0,40168.0,40229.0,39905.0,42301.0,41096.0,41292.0
Algeria,Wheat,6701.0,4934.0,4957.0,8313.0,7101.0,4337.0,5809.0,5553.0,7297.0,6720.0,5965.0,5635.0,5730.0,8861.0,8084.0,7777.0,6006.0,7821.0,6315.0,10809.0,9939.0,8097.0,7999.0,8924.0,13090.0,8016.0,8847.0,10711.0,9194.0,11104.0,10739.0,14480.0,13582.0,15057.0,15068.0,12742.0,11038.0,15975.0,14838.0,17405.0,17639.0,19100.0
Angola,Wheat,11592.0,8867.0,13065.0,10000.0,10000.0,7692.0,5882.0,5333.0,5833.0,6316.0,6250.0,6250.0,6250.0,6250.0,8000.0,8000.0,8000.0,8000.0,7995.0,8000.0,8000.0,8862.0,10000.0,11865.0,13758.0,15529.0,17143.0,17391.0,17025.0,16667.0,15485.0,13879.0,12412.0,10860.0,10000.0,10000.0,10000.0,10000.0,10526.0,10959.0,11294.0,9399.0
Argentina,Wheat,15911.0,16574.0,14103.0,16260.0,17045.0,13612.0,17396.0,16934.0,15596.0,14014.0,20501.0,18405.0,23068.0,16177.0,17819.0,18847.0,18344.0,18947.0,18947.0,18972.0,21809.0,23272.0,20237.0,21675.0,19344.0,22426.0,26088.0,23028.0,24873.0,24934.0,22398.0,20361.0,25441.0,26356.0,25302.0,26234.0,28271.0,19628.0,27113.0,35063.0,32199.0,26581.0
Armenia,Wheat,,,,,,,,,,,,,,,,,,,,,21600.0,22257.0,17842.0,25480.0,23569.0,17009.0,20651.0,19466.0,16679.0,22263.0,23877.0,17183.0,23416.0,20252.0,14627.0,25837.0,24322.0,22374.0,21192.0,28800.0,26010.0,31273.0
Australia,Wheat,8666.0,13396.0,13671.0,14006.0,13175.0,9413.0,17651.0,14515.0,9622.0,13765.0,7705.0,17026.0,15455.0,13695.0,14476.0,13645.0,15787.0,15787.0,16344.0,14698.0,17812.0,19658.0,11356.0,17899.0,21673.0,18412.0,19153.0,20066.0,18209.0,18209.0,21076.0,9070.0,19998.0,16348.0,20213.0,9173.0,10788.0,15831.0,15729.0,20301.0,21511.0,17609.0
Austria,Wheat,31461.0,35268.0,40938.0,35063.0,42634.0,37588.0,41771.0,31457.0,44673.0,37370.0,42767.0,45300.0,47632.0,48862.0,43605.0,45284.0,53436.0,49015.0,50479.0,50735.0,53938.0,42246.0,52088.0,50856.0,50069.0,52044.0,50749.0,54348.0,44688.0,52412.0,49667.0,43801.0,59234.0,50286.0,49066.0,47763.0,56935.0,49295.0,50117.0,58549.0,41388.0,53743.0
Azerbaijan,Wheat,,,,,,,,,,,,,,,,,,,,,21705.0,16855.0,16296.0,14940.0,16627.0,16914.0,15764.0,19992.0,23223.0,26154.0,26028.0,25599.0,25748.0,25818.0,26050.0,26722.0,27251.0,25946.0,19381.0,24376.0,26144.0,26719.0
Bangladesh,Wheat,9038.0,7572.0,8987.0,9260.0,14535.0,16211.0,18419.0,18660.0,18990.0,18479.0,18114.0,21090.0,23021.0,21647.0,19282.0,18657.0,17542.0,18246.0,15034.0,16767.0,18534.0,18457.0,18390.0,19483.0,19531.0,20544.0,22408.0,21627.0,22104.0,21643.0,21644.0,21327.0,19527.0,17478.0,15344.0,18471.0,21753.0,21516.0,23959.0,26012.0,27789.0,30138.0
Belarus,Wheat,,,,,,,,,,,,,,,,,,,,,27983.0,26826.0,22802.0,24791.0,21989.0,25132.0,21347.0,17322.0,21367.0,21255.0,26919.0,25082.0,33040.0,32812.0,28191.0,32771.0,39752.0,35428.0,28851.0,33088.0,35822.0,30610.0
Belgium,Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79198.0,80475.0,82757.0,85786.0,89806.0,82733.0,82549.0,78908.0,87585.0,94652.0,88272.0,84046.0,84522.0,89349.0
Belgium-Luxembourg,Wheat,44206.0,49497.0,54311.0,38018.0,44325.0,41044.0,52535.0,51304.0,46131.0,53490.0,58091.0,52262.0,68436.0,62522.0,67404.0,57796.0,65242.0,67442.0,60339.0,66884.0,65309.0,71303.0,73294.0,70119.0,89184.0,79337.0,82523.0,80957.0,,,,,,,,,,,,,,
Bhutan,Wheat,10149.0,10145.0,10141.0,10137.0,10133.0,10000.0,10000.0,10000.0,10000.0,10941.0,10526.0,11000.0,11366.0,10000.0,9167.0,8000.0,6396.0,6386.0,7692.0,8333.0,9091.0,11667.0,12500.0,13000.0,14167.0,15385.0,15385.0,15385.0,9457.0,10000.0,11269.0,14239.0,13656.0,12754.0,13481.0,12921.0,17655.0,14371.0,21637.0,26686.0,22471.0,23392.0
Bolivia (Plurinational State of),Wheat,8333.0,8278.0,8489.0,8034.0,8639.0,6530.0,6456.0,6909.0,5992.0,6943.0,6845.0,6045.0,7936.0,7415.0,7642.0,8079.0,7670.0,6962.0,6480.0,9339.0,8088.0,10320.0,7519.0,9746.0,7490.0,10641.0,9042.0,8677.0,8492.0,9890.0,8850.0,9878.0,10665.0,10741.0,11113.0,9210.0,12931.0,12862.0,13920.0,9731.0,9186.0,11167.0
Bosnia and Herzegovina,Wheat,,,,,,,,,,,,,,,,,,,,,34000.0,32613.0,34778.0,34107.0,30127.0,30193.0,32113.0,27163.0,32290.0,24263.0,30026.0,22617.0,36711.0,30568.0,31698.0,34760.0,37354.0,37751.0,26621.0,35960.0,37082.0,39206.0
Botswana,Wheat,25000.0,20680.0,20370.0,20370.0,21111.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,26178.0,22268.0,21474.0,20681.0,19887.0,19093.0,18929.0,17218.0,16667.0,16323.0,15862.0,15714.0,14549.0,13665.0,12686.0,11612.0,10456.0,9000.0,8000.0,,,,,
Brazil,Wheat,4237.0,11044.0,11568.0,6100.0,9084.0,6552.0,9572.0,7641.0,8653.0,11508.0,6460.0,11903.0,11387.0,16140.0,14466.0,17654.0,16528.0,16925.0,11540.0,14232.0,14295.0,14825.0,15541.0,15420.0,18334.0,16359.0,16111.0,19699.0,15156.0,19488.0,14754.0,24035.0,20728.0,19735.0,15927.0,22199.0,25497.0,20802.0,28288.0,26602.0,23100.0,27491.0
Bulgaria,Wheat,37279.0,34886.0,33563.0,32852.0,38240.0,37177.0,37080.0,35034.0,39750.0,43035.0,46368.0,31993.0,42931.0,28749.0,38399.0,38221.0,40144.0,47661.0,45514.0,37480.0,31071.0,28580.0,28447.0,29085.0,18818.0,29502.0,28058.0,27352.0,28421.0,30081.0,30123.0,23828.0,38100.0,31567.0,34026.0,21973.0,41674.0,31873.0,36185.0,39197.0,37596.0,41885.0
